   datafolder mlmethod ntree mtry nodesize score     sd
3  cz2sec     gbm       500    0.01       3                0.5515044 NA
4  cz2sec     gbm       500    0.01       5                0.5523778 NA
5  cz2sec     gbm       500    0.01      10                0.5610028 NA
6  cz2sec     gbm       500    0.01      20                0.5633512 NA
7  cz2sec     gbm       500    0.01      30                0.5644534 NA 0.56884
8  cz2sec     gbm       500    0.05       1                0.5364062 NA
9  cz2sec     gbm       500    0.05       2                0.5445660 NA
10 cz2sec     gbm       500    0.05       3                0.5509775 NA
11 cz2sec     gbm       500    0.05       5                0.5537222 NA
12 cz2sec     gbm       500    0.05      10                0.5516300 NA
13 cz2sec     gbm       500    0.05      20                0.5555225 NA
14 cz2sec     gbm       500    0.05      30                0.5514809 NA
15 cz2sec     gbm       500    0.10       1                0.5345914 NA
16 cz2sec     gbm       500    0.10       2                0.5465929 NA
17 cz2sec     gbm       500    0.10       3                0.5469750 NA
18 cz2sec     gbm       500    0.10       5                0.5438539 NA
19 cz2sec     gbm       500    0.10      10                0.5507542 NA
20 cz2sec     gbm       500    0.10      20                0.5513005 NA
21 cz2sec     gbm       500    0.10      30                0.5482564 NA
22 cz2sec     gbm       500    0.50       1                0.5438788 NA
23 cz2sec     gbm       500    0.50       2                0.5392125 NA
24 cz2sec     gbm       500    0.50       3                0.5259346 NA
25 cz2sec     gbm       500    0.50       5                0.5458974 NA
26 cz2sec     gbm       500    0.50      10                0.5377544 NA
27 cz2sec     gbm       500    0.50      20                0.5458859 NA
28 cz2sec     gbm       500    0.50      30                0.5434722 NA
29 cz2sec     gbm       800    0.01       1                0.5322857 NA
30 cz2sec     gbm       800    0.01       2                0.5492963 NA
31 cz2sec     gbm       800    0.01       3                0.5538731 NA
32 cz2sec     gbm       800    0.01       5                0.5553623 NA
33 cz2sec     gbm       800    0.01      10                0.5599102 NA
34 cz2sec     gbm       800    0.01      20                0.5584840 NA
35 cz2sec     gbm       800    0.01      30                0.5607443 NA
36 cz2sec     gbm       800    0.05       1                0.5352757 NA
37 cz2sec     gbm       800    0.05       2                0.5561280 NA
38 cz2sec     gbm       800    0.05       3                0.5631194 NA
39 cz2sec     gbm       800    0.05       5                0.5503394 NA
40 cz2sec     gbm       800    0.05      10                0.5584557 NA
41 cz2sec     gbm       800    0.05      20                0.5580277 NA
42 cz2sec     gbm       800    0.05      30                0.5558855 NA
43 cz2sec     gbm       800    0.10       1                0.5403530 NA
44 cz2sec     gbm       800    0.10       2                0.5568949 NA
45 cz2sec     gbm       800    0.10       3                0.5432980 NA
46 cz2sec     gbm       800    0.10       5                0.5505003 NA
47 cz2sec     gbm       800    0.10      10                0.5437853 NA
48 cz2sec     gbm       800    0.10      20                0.5573147 NA
49 cz2sec     gbm       800    0.10      30                0.5528842 NA
50 cz2sec     gbm       800    0.50       1                0.5264692 NA
51 cz2sec     gbm       800    0.50       2                0.5374637 NA
52 cz2sec     gbm       800    0.50       3                0.5421971 NA
53 cz2sec     gbm       800    0.50       5                0.5551831 NA
54 cz2sec     gbm       800    0.50      10                0.5433398 NA
55 cz2sec     gbm       800    0.50      20                0.5440267 NA
56 cz2sec     gbm       800    0.50      30                0.5473340 NA
57 cz2sec     gbm      1200    0.01       1                0.5356260 NA
58 cz2sec     gbm      1200    0.01       2                0.5527444 NA
59 cz2sec     gbm      1200    0.01       3                0.5541075 NA
60 cz2sec     gbm      1200    0.01       5                0.5585060 NA
61 cz2sec     gbm      1200    0.01      10                0.5616684 NA
62 cz2sec     gbm      1200    0.01      20                0.5637484 NA
63 cz2sec     gbm      1200    0.01      30                0.5608329 NA
64 cz2sec     gbm      1200    0.05       1                0.5395609 NA
65 cz2sec     gbm      1200    0.05       2                0.5541539 NA
66 cz2sec     gbm      1200    0.05       3                0.5427565 NA
67 cz2sec     gbm      1200    0.05       5                0.5564203 NA
68 cz2sec     gbm      1200    0.05      10                0.5480696 NA
69 cz2sec     gbm      1200    0.05      20                0.5571842 NA
70 cz2sec     gbm      1200    0.05      30                0.5551250 NA
71 cz2sec     gbm      1200    0.10       1                0.5502954 NA
72 cz2sec     gbm      1200    0.10       2                0.5514248 NA
73 cz2sec     gbm      1200    0.10       3                0.5472603 NA
74 cz2sec     gbm      1200    0.10       5                0.5460679 NA
75 cz2sec     gbm      1200    0.10      10                0.5491529 NA
76 cz2sec     gbm      1200    0.10      20                0.5534236 NA
77 cz2sec     gbm      1200    0.10      30                0.5582810 NA
78 cz2sec     gbm      1200    0.50       1                0.5389315 NA
79 cz2sec     gbm      1200    0.50       2                0.5101921 NA
80 cz2sec     gbm      1200    0.50       3                0.5315911 NA
81 cz2sec     gbm      1200    0.50       5                0.5405910 NA
82 cz2sec     gbm      1200    0.50      10                0.5314565 NA
83 cz2sec     gbm      1200    0.50      20                0.5338234 NA
84 cz2sec     gbm      1200    0.50      30                0.5112203 NA
