   datafolder    mlmethod ntree mtry nodesize inscore   outscore  sd        
15 8ch1300ms16cv rf       100   100  1000     0.6681804 0.5389998 0.04718824
16 8ch1300ms16cv rf       100   500   100     0.8944198 0.5381287 0.04077740
17 8ch1300ms16cv rf       100   500   500     0.7439116 0.5367924 0.04073827
18 8ch1300ms16cv rf       100   500  1000     0.6887876 0.5160009 0.04775462
19 8ch1300ms16cv rf       500    50   100     0.8784360 0.5384490 0.05324098
20 8ch1300ms16cv rf       500    50   500     0.7430776 0.5276702 0.03879631
21 8ch1300ms16cv rf       500    50  1000     0.6893775 0.5390155 0.04607763
22 8ch1300ms16cv rf       500   100   100     0.8881280 0.5391552 0.04988145
23 8ch1300ms16cv rf       500   100   500     0.7499953 0.5344611 0.04379080
24 8ch1300ms16cv rf       500   100  1000     0.6990320 0.5362503 0.04522478
25 8ch1300ms16cv rf       500   500   100     0.9066155 0.5428472 0.04427070
26 8ch1300ms16cv rf       500   500   500     0.7622985 0.5361957 0.04687298
27 8ch1300ms16cv rf       500   500  1000     0.7160977 0.5325370 0.04853486

